,mint_region,date_of_origin,material,condition,sold_price
159,Levant / Near East,107.5,Billon,Near VF,450
160,Levant / Near East,216,Billon,VF,140
161,Levant / Near East,217.5,Billon,VF,425
162,Western Europe,-105,Silver,VF,250
163,Western Europe,-57,Silver,VF,130
164,Western Europe,-41,Silver,VF,190
165,Steppe / Black Sea,-50,Gold,Near XF,1700
166,Asia Minor,-465,Silver,VF,80
167,Levant / Near East,-22.5,Bronze,Near VF,60
168,Levant / Near East,-265.5,Bronze,Near VF,120
169,Levant / Near East,-234.5,Bronze,Near VF,70
170,Asia Minor,-242.5,Bronze,Near VF,80
171,Egypt / North Africa,-192,Silver,Near VF,650
172,Egypt / North Africa,-148.5,Bronze,Near VF,90
173,Egypt / North Africa,-148.5,Bronze,Near VF,80
174,Egypt / North Africa,-80.5,Silver,Near VF,150
175,Egypt / North Africa,-52.5,Silver,VF,110
176,Egypt / North Africa,-40.5,Bronze,Near Fine,850
177,Asia Minor,250,Bronze,Near VF,100
178,Asia Minor,127.5,Bronze,VF,160
179,Levant / Near East,217.5,Billon,VF,130
180,Levant / Near East,217.5,Billon,VF,100
181,Western Europe,246,Billon,XF,425
182,Levant / Near East,248.5,Billon,Near VF,425
183,Levant / Near East,249.5,Billon,Near VF,300
184,Levant / Near East,250,Billon,Near VF,130
185,Levant / Near East,250,Billon,Near VF,500
186,Levant / Near East,250.2,Billon,Near XF,500
187,Levant / Near East,216,Billon,XF,160
188,Levant / Near East,217.5,Billon,Near VF,475
189,Levant / Near East,149.5,Bronze,Near Fine,60
190,Levant / Near East,70.5,Silver,Near VF,600
191,Levant / Near East,70.5,Silver,Near Fine,80
192,Egypt / North Africa,266.5,Potin,Near VF,60
193,Western Europe,-10,Bronze,VF,140
194,Levant / Near East,66,Silver,Near VF,275
195,Levant / Near East,246.5,Billon,Near Fine,20
196,Egypt / North Africa,241,Billon,VF,85
197,Egypt / North Africa,269,Billon,Near VF,40
198,Egypt / North Africa,272.5,Potin,Near VF,30
199,Western Europe,-57,Silver,VF,325
200,Western Europe,-55,Silver,VF,170
